"ID","FORMULA","NAME","MW(g/mol)","TB(K)","Tc(K)","Pc(bar)","Vc(cm3/mol)","RHOC(g/cm3)","Zc","OMEGA","Dipole Moment","molecular volume","atom","Optimum_Chemical_Potential_Max","atom1","Optimum_Chemical_Potential_Min","atom2","Theta_Inverse_Max","atom3","Theta_Inverse_Min","atom4","Intensive_Atomic_softness_Max","atom5","Intensive_Atomic_Hypersoftness_Max","atom6","Intensive_Heat_Capacity_Max","atom7","Intensive_Entropy_Max","atom8","ODD_at_HOMO_Max","atom9","OAD_at_HOMO_Max","atom10","ODD_at_LUMO_Max","atom11","OAD_at_LUMO_Max","atom12","electrophilicity_intensive_MAX","atom13","thermophilicity_intensive_MAX"
"DJ1480","ND3","HEAVY AMMONIA",20.055,239.75,388.4,125.71,70.4,0.285,0.274,0.447,1.8668,325.9561063,"N1",-0.685,"H2",-78.259,"H2",16.3,"N1",0.16,"N1",0.87436,"H2",0.00365,"H2",22.675,"H3",93.907,"H2",1.458,"N1",-0.338,"H2",1.406,"N1",-0.671,"H2",1.794,"N1",0.052
"DJ1482","NH3","AMMONIA",17.031,239.72,405.65,112.78,72.5,0.235,0.242,0.252,1.8668,325.9561063,"N1",-0.685,"H2",-78.259,"H2",16.3,"N1",0.16,"N1",0.87436,"H2",0.00365,"H2",22.675,"H3",93.907,"H2",1.458,"N1",-0.338,"H2",1.406,"N1",-0.671,"H2",1.794,"N1",0.052
"DJ1490","NOF","NITROSYL FLUORIDE",49.005,217.15,352.67,112.78,71.2,0.6879,0.274,0.405,1.4993,391.3763995,"F1",-32.909,"N3",-48.493,"N3",15.74,"F1",12.22,"F1",0.06346,"F1",0.00371,"N3",7.397,"N3",56.779,"O2",5.779,"F1",-27.684,"O2",5.573,"F1",-27.899,"N3",6.148,"F1",5.76
"DJ1321","AIB3H12","ALUMINUM BOROHYDRIDE",71.51,319.05,513.77,112.46,114,0.6275,0.3,0.436,6.8755,1532.930047,"Al1",-9.585,"H7",-379.104,"H4",65.83,"Al1",2.55,"Al1",0.22501,"Al1",0.05826,"H7",34.731,"H7",442.783,"H5",3.593,"Al1",-8.979,"H5",3.565,"Al1",-9.083,"B10",17.248,"Al1",1.454
"DJ1321","AIB3H12","ALUMINUM BOROHYDRIDE",71.51,319.05,513.77,112.46,114,0.6275,0.3,0.436,6.8755,1256.630176,"Al1",-9.585,"H7",-379.104,"H4",65.83,"Al1",2.55,"Al1",0.22501,"Al1",0.05826,"H7",34.731,"H7",442.783,"H5",3.593,"Al1",-8.979,"H5",3.565,"Al1",-9.083,"B10",17.248,"Al1",1.454
"DJ1391","CIO2","CHLORINE DIOXIDE",67.452,284.05,465,108.28,97.8,0.6895,0.274,0.356,2.3225,495.7274866,"Cl1",-22.992,"O3",-267.964,"O2",96.32,"Cl1",9.66,"Cl1",0.06776,"Cl1",0.00481,"O2",7.027,"O2",359.308,"O2",37.234,"Cl1",-18.007,"O2",37.093,"Cl1",-18.181,"O2",7.24,"Cl1",1.198
"DJ1361","Br2","BROMINE",159.808,331.9,584.15,103.35,135,1.1838,0.287,0.119,0,692.6759443,"Br1",-456.297,"Br1",-456.297,"Br1",299.53,"Br1",299.53,"Br1",0.00256,"Br1",1E-05,"Br1",1.812,"Br1",734.715,"Br1",222.66,"Br1",-233.637,"Br1",222.435,"Br1",-233.862,"Br1",9.149,"Br1",19.938
"DJ1355","BeCI2","BERYLLIUM CHLORIDE",79.918,823.15,1238.03,102.09,302.5,0.2642,0.3,0.366,0,757.7963279,"Cl2",-125.881,"Be1",-832.318,"Be1",196.08,"Cl2",57.33,"Cl2",0.0141,"Cl2",0.00018,"Be1",17.555,"Be1",1023.75,"Cl2",31.546,"Cl2",-94.335,"Cl2",31.248,"Cl2",-94.633,"Be1",50.676,"Cl2",12.878
"DJ1491","NO2","NITROGEN DIOXIDE",46.006,294,431.35,101.33,82.5,0.5577,0.233,0.849,0.3868,399.5347241,"O1",-32.127,"N3",-39.063,"N3",12.58,"O1",11.41,"O1",0.07082,"O1",0.00448,"N3",7.14,"N3",44.155,"O1",4.497,"O1",-27.63,"O1",4.339,"O1",-27.788,"N3",5.905,"O1",0.866
"DJ1499","N2O4","NITROGEN TETRAOXIDE",92.011,302.22,431.15,101.33,82.5,1.1154,0.233,1.007,0,687.9808094,"O1",-46.006,"N5",-52.278,"N5",13.62,"O1",12.95,"O1",0.06968,"O1",0.00447,"N5",11.299,"N5",57.801,"O1",3.068,"O1",-42.938,"O1",2.952,"O3",-43.054,"N5",17.433,"N5",0.862
